Proto   recv-Q  Send-Q Local-address        foregin-address         state
tcp4       0      0  192.168.1.116.61932    74.125.128.17.443      ESTABLISHED
tcp4       0      0  127.0.0.1.8087         127.0.0.1.61931        ESTABLISHED
tcp4       0      0  127.0.0.1.61931        127.0.0.1.8087         ESTABLISHED
tcp4      37      0  192.168.1.116.61926    163.177.65.209.993     CLOSE_WAIT 
tcp4       0      0  192.168.1.116.61905    74.125.23.125.5222     ESTABLISHED
tcp4       0      0  192.168.1.116.61860    173.194.79.108.993     ESTABLISHED
tcp4       0      0  192.168.1.116.61854    173.194.79.108.993     ESTABLISHED
tcp4       0     79  192.168.1.116.61768    173.194.79.109.993     ESTABLISHED
tcp4       0      0  192.168.1.116.61747    17.149.36.155.5223     ESTABLISHED
tcp4      37      0  192.168.1.116.61710    163.177.65.209.993     CLOSE_WAIT 
tcp4       0      0  192.168.1.116.61676    173.194.79.109.993     ESTABLISHED
tcp4       0      0  192.168.1.116.61636    74.125.235.192.443     FIN_WAIT_2 
tcp4       0      0  192.168.1.116.61633    163.177.65.157.993     FIN_WAIT_2 
tcp4       0      0  192.168.1.116.61628    17.172.238.201.5223    ESTABLISHED
tcp4       0      0  192.168.1.116.61517    124.158.211.44.843     FIN_WAIT_2 
tcp4      37      0  192.168.1.116.60318    163.177.65.209.993     CLOSE_WAIT 
tcp4       0      0  192.168.1.116.60244    173.194.72.188.5228    ESTABLISHED
tcp4       0      0  192.168.1.116.59019    203.208.48.136.443     ESTABLISHED
tcp4       0      0  192.168.1.116.59016    173.194.127.163.443    ESTABLISHED
tcp4       0      0  192.168.1.116.58176    113.142.26.161.80      ESTABLISHED
tcp4       0      0  127.0.0.1.8087         *.*                    LISTEN     
tcp4       0      0  127.0.0.1.8086         *.*                    LISTEN     
tcp4       0      0  127.0.0.1.26164        127.0.0.1.49198        ESTABLISHED
tcp4       0      0  127.0.0.1.49198        127.0.0.1.26164        ESTABLISHED
tcp4       0      0  127.0.0.1.26164        *.*                    LISTEN     
tcp4       0      0  *.17500                *.*                    LISTEN     
tcp4       0      0  127.0.0.1.49964        127.0.0.1.49182        ESTABLISHED
tcp4       0      0  127.0.0.1.49182        127.0.0.1.49964        ESTABLISHED
tcp46      0      0  *.49177                *.*                    LISTEN     
tcp4       0      0  *.49177                *.*                    LISTEN     
tcp4       0      0  127.0.0.1.49964        127.0.0.1.49173        ESTABLISHED
tcp4       0      0  127.0.0.1.49173        127.0.0.1.49964        ESTABLISHED
tcp4       0      0  *.49964                *.*                    LISTEN     
tcp6       0      0  ::1.25035              *.*                    LISTEN     
tcp4       0      0  127.0.0.1.25035        *.*                    LISTEN     
tcp4       0      0  127.0.0.1.3306         *.*                    LISTEN     
tcp4       0      0  127.0.0.1.631          *.*                    LISTEN     
tcp6       0      0  ::1.631                *.*                    LISTEN     
